feature,coef,std_error,z_value,p_value,conf_low_logit,conf_high_logit,odds_ratio,or_ci_low,or_ci_high,abs_coef
Race_Hispanic,17.87792053018085,1508.8951325314592,0.0118483519130897,0.9905466041214811,-2939.5565392314793,2975.312380291841,58114196.04967736,0,Inf,17.87792053018085
Race_Black,17.594312046193988,1508.895124450739,0.011660394258745177,0.9906965622718834,-2939.840131877255,2975.0287559696426,43763559.15060673,0,Inf,17.594312046193988
Race_White,17.496013608354254,1508.89498844996,0.011595249332975354,0.9907485368885955,-2939.9381637535676,2974.930190970276,39666343.22386556,0,Inf,17.496013608354254
Race_Other,17.335585370508248,1508.8952459569305,0.011488925700414772,0.9908333652228298,-2940.099096705075,2974.770267446092,33786956.05743632,0,Inf,17.335585370508248
`Anemia_>30`,16.68911687824622,2908.754640081035,0.0057375471441555755,0.9954221248336668,-5684.469977680583,5717.8482114370745,17700737.76380344,0,Inf,16.68911687824622
`ASACLAS_3-Severe Disturb`,15.87053093476576,4311.377338519583,0.0036810814012895694,0.9970629286159165,-8434.429052563615,8466.170114433147,7806996.95264223,0,Inf,15.87053093476576
`ASACLAS_4-Life Threat`,15.339295065630553,4311.377354318677,0.003557864182374407,0.9971612410884744,-8434.960319398977,8465.638909530238,4589561.600633158,0,Inf,15.339295065630553
`ASACLAS_2-Mild Disturb`,15.33307419623183,4311.377378793495,0.003556421266125089,0.9971623923617885,-8434.966588239018,8465.632736631484,4561099.159671675,0,Inf,15.33307419623183
`Age_Group_50-70`,15.094802682213187,1010.4004398527617,0.014939426079835083,0.9880805059635562,-1965.2900594291996,1995.479664793626,3594094.6524262107,0,Inf,15.094802682213187
`Age_Group_>70`,15.042225294291304,1010.4008281627887,0.014887384169748332,0.9881220247827747,-1965.3433979047745,1995.427848493357,3410008.3375679655,0,Inf,15.042225294291304
`Anemia_24-30`,14.664207681948591,2908.7547549720616,0.0050414039399101695,0.9959775586704785,-5686.495112063291,5715.823527427189,2336600.5670541152,0,Inf,14.664207681948591
`FNCTSTATUS_Totally Dependent`,3.4885349841652076,1.4694814494433515,2.37399048860854,0.01759700377605534,0.6083513432562389,6.368718625074177,32.737950940279156,1.837399658980447,583.3099111179986,3.4885349841652076
DIALYSIS_Yes,3.3049830577243684,2.153286433385944,1.5348552828280417,0.12481937975746893,-0.9154583517120818,7.525424467160819,27.248079940409635,0.4003330906746322,1854.6002759546582,3.3049830577243684
DNR_Yes,2.3493415125538517,1.4621304269475943,1.6067933949356603,0.1080996976615417,-0.5164341242634332,5.215117149371137,10.478667381500719,0.5966443186678975,184.03337911149225,2.3493415125538517
CVA_Yes,1.9937405653461944,0.6966941013776681,2.8617158684187216,0.004213544561544161,0.628220126645965,3.3592610040464237,7.3429492371112275,1.8742716425487669,28.767923642844867,1.9937405653461944
RADIO_Yes,1.9049620566555758,0.5816367710973471,3.2751747332988805,0.0010559663776596887,0.7649539853047755,3.0449701280063763,6.719152675673902,2.1488954916090854,21.009403600735297,1.9049620566555758
CVANO_Yes,1.334031920810415,0.7066260297695637,1.8878895831865312,0.059040775274929194,-0.05095509753792982,2.71901893915876,3.796319029483578,0.9503213413423917,15.16543672823466,1.334031920810415
ETOH_Yes,1.2653014961875826,0.4989620375340013,2.53586726244952,0.011216924191471866,0.28733590262094,2.2432670897542253,3.5441611261108332,1.3328718534386956,9.424070330113658,1.2653014961875826
`FNCTSTATUS_Partially Dependent`,1.1303342767378344,0.6433358004775991,1.7569895471364998,0.07891959090327652,-0.13060389219825974,2.3912724456739287,3.0966914790560818,0.8775653160227368,10.927389610063045,1.1303342767378344
BLEEDDIS_Yes,1.0092723784366906,0.6078969347963955,1.6602689052458026,0.09686036820189788,-0.1822056137642445,2.2007503706376257,2.7436039831439807,0.8334299581261359,9.031788145998327,1.0092723784366906
DYSPNEA_No,-1.003645543961158,0.6787499420378337,-1.4786675943542322,0.13922917729125966,-2.333995430355312,0.32670434243299606,0.36654076208556,0.09690778426349682,1.3863915194361824,1.003645543961158
HXTIA_Yes,-0.9590525568265291,0.9674370656873617,-0.9913332772143939,0.3215228689436222,-2.855229205573758,0.9371240919206998,0.38325582713201095,0.05754263051762456,2.552629723551705,0.9590525568265291
