variable,VIF
ASA_simple_4,3.3005684407594322
ASA_simple_3,3.1210514568886283
PRALBUM,1.2185581606902407
PRHCT,1.1824336430455398
Dyspnea_any_Any,1.1173165178238424
HXCOPD_Yes,1.109669068025193
Functional_dependence_Dependent,1.0874875005220832
SEX_male,1.0563609041761806
PRCREAT,1.0484440174936824
Age,1.0335093758375795
DISCANCR_Yes,1.019809037888148
